Gi,GVhel,mag,Type,Type II Label
53.989213772864524,8056.0,17.0,II,Type II
56.67105641568638,2519.0,17.0,II,Type II
56.47830351104341,9233.0,18.0,II,Type II
22.1081925798014,4342.0,15.5,IIn,Type II
49.45470486684986,6910.0,18.9,II,Type II
41.569219154910726,7483.0,18.4,II,Type II
45.2229847530831,5425.0,16.2,IIn,Type II
36.360437092014394,8830.0,18.6,II,Type II
71.90189284416103,2009.0,16.0,II,Type II
46.648470094421306,1718.0,15.7,II:,Type II
55.15632966816098,4103.0,16.3,II,Type II
65.60154547056385,4103.0,16.3,II,Type II
63.16886992533886,7539.0,16.1,II:,Type II
42.024475724730834,6980.0,17.0,II,Type II
69.56927591643729,4629.0,17.0,II,Type II
27.751622952190587,5310.0,16.8,II,Type II
33.030961781053456,5188.0,17.8,II,Type II
62.07401004276967,2608.0,15.9,II,Type II
48.23505412567609,14810.0,18.1,II,Type II
41.59562123107762,5662.0,16.0,II,Type II
59.32944125236573,2569.0,17.4,II,Type II
48.405115930803134,2388.0,16.5,IIn,Type II
62.890208233731116,3448.0,16.9,II,Type II
46.075720977441506,1275.0,15.5,II:,Type II
45.31142177184938,7657.0,18.0,II,Type II
60.45120603229288,4486.0,16.1,II,Type II
43.33440295477329,6044.0,17.2,II,Type II
59.6259897248071,1589.0,14.6,II:,Type II
62.77803126227755,5281.0,17.7,IIPec,Type II
54.32234833109132,5311.0,18.5,II,Type II
42.90589791680751,3256.0,15.5,II,Type II
19.306354219606895,7339.0,17.4,IIn,Type II
24.628896470175047,864.0,15.0,IIP,Type II
30.425301360215983,7885.0,16.8,II,Type II
52.16109140506063,14090.0,17.4,II,Type II
48.99613426971278,5311.0,18.5,II,Type II
47.96970091076213,278.0,2.9,IIPec,Type II
63.682741348715396,8387.0,17.1,II,Type II
35.373704319252,5900.0,17.5,IIn,Type II
32.54353354881998,3102.0,15.3,IIn,Type II
45.040763948008404,11590.0,19.2,II,Type II
26.88731831977364,1082.0,18.2,II,Type II
62.56787267300787,5261.0,17.7,II,Type II
36.843033030193055,10793.0,17.5,II,Type II
23.087196998131947,2633.0,15.1,II,Type II
43.90285094265091,5802.0,17.8,II,Type II
59.53749172643006,2791.0,17.0,II,Type II
84.51174287728776,757.0,15.7,IIP,Type II
43.55073223924492,1270.0,13.5,II,Type II
55.602087162359595,864.0,15.0,IIP,Type II
55.156989516311775,8520.0,17.7,II,Type II
67.60391906547227,8281.0,17.9,II,Type II
61.29770651580377,2905.0,16.8,II,Type II
33.891131921324195,6182.0,19.0,II,Type II
42.90174982584972,1376.0,16.4,II,Type II
41.56908507703538,2558.0,14.4,IIn,Type II
21.135896735555935,1292.0,13.2,II,Type II
49.098274779343924,1420.0,15.7,II,Type II
26.033984362271358,960.0,15.8,IIPec,Type II
59.97152055459691,1481.0,16.0,II,Type II
63.80570850416397,9904.0,17.0,II,Type II
107.53804845408965,5310.0,16.8,II,Type II
60.70943284214275,9340.0,18.8,II,Type II
14.655011000571008,3121.0,17.2,II,Type II
61.367015611890935,1174.0,16.8,II,Type II
48.356196633692434,5244.0,18.5,II:,Type II
36.844628280825226,2082.0,14.0,II,Type II
70.90246295592775,10553.0,18.4,II,Type II
56.36828818674298,4963.0,17.2,IIn,Type II
31.897558161391995,5248.0,16.6,II,Type II
22.289826425476527,2260.0,16.4,II,Type II
54.51833039587506,6910.0,18.9,II,Type II
86.46211048172637,7210.0,17.9,II,Type II
