Gi,GVhel,mag,Type,Type I Label
63.0,3257.0,15.0,Ia,Type I
63.0,3257.0,14.1,Ia,Type I
90.0,10500.0,17.0,Ia,Type I
0.0,5805.0,16.8,Ia,Type I
41.0,12892.0,17.6,Ia,Type I
83.0,2617.0,14.0,I,Type I
43.0,5418.0,16.0,Ia,Type I
44.0,3161.0,15.3,Ia,Type I
68.0,8217.0,16.5,Ia,Type I
51.0,6985.0,17.0,Ia,Type I
68.0,8669.0,17.5,Ia,Type I
53.0,9102.0,18.0,Ia,Type I
30.0,8598.0,17.1,Ia,Type I
70.0,1506.0,13.5,I,Type I
17.0,592.0,11.0,I,Type I
54.0,1916.0,15.0,I:,Type I
84.0,241.0,14.0,I,Type I
38.0,465.0,14.0,I:,Type I
64.0,16020.0,15.8,I:,Type I
51.0,1048.0,12.5,I,Type I
55.0,3779.0,14.3,Ia,Type I
79.0,1611.0,13.6,Ia,Type I
38.0,1211.0,13.9,Ib,Type I
17.0,4540.0,14.5,I,Type I
24.0,6520.0,15.8,I,Type I
58.0,5388.0,16.7,I,Type I
44.0,1082.0,12.4,I,Type I
17.0,1566.0,14.0,I,Type I
59.0,1239.0,12.5,Ia,Type I
70.0,4218.0,15.5,I,Type I
21.0,5018.0,15.5,I,Type I
73.0,663.0,11.3,I,Type I
36.0,9855.0,16.6,I:,Type I
65.0,4797.0,14.7,I,Type I
65.0,1301.0,13.2,Ia,Type I
44.0,5264.0,15.2,I,Type I
72.0,3922.0,14.4,Ia,Type I
34.0,12801.0,17.4,I,Type I
44.0,1686.0,13.5,I,Type I
43.0,3105.0,14.1,Ia,Type I
48.0,1206.0,15.0,I,Type I
47.0,1566.0,13.3,I,Type I
59.0,1665.0,13.2,Ia,Type I
46.0,6747.0,16.8,I:,Type I
27.0,6295.0,15.5,I,Type I
30.0,2820.0,15.0,I,Type I
41.0,3225.0,14.9,I,Type I
63.0,638.0,16.0,IPec,Type I
27.0,4887.0,15.2,Ia,Type I
56.0,716.0,12.7,Ia,Type I
38.0,7469.0,16.0,Ia,Type I
60.0,2741.0,14.7,Ia,Type I
54.0,8574.0,15.5,I,Type I
66.0,1940.0,14.7,Ia,Type I
48.0,1875.0,13.7,Ia,Type I
34.0,4841.0,15.4,I,Type I
54.0,2136.0,14.7,I,Type I
77.0,232.0,15.2,Ib:,Type I
41.0,2618.0,14.5,I,Type I
46.0,4579.0,15.0,I,Type I
43.0,983.0,17.0,I,Type I
27.0,6295.0,15.6,I,Type I
30.0,4856.0,15.4,Ia,Type I
34.0,1422.0,15.0,I,Type I
40.0,7064.0,17.0,I,Type I
47.0,1760.0,12.5,Ia,Type I
77.0,1737.0,15.0,I,Type I
47.0,1760.0,12.6,Ia,Type I
41.0,4473.0,15.0,I,Type I
61.0,5690.0,15.0,I,Type I
47.0,3904.0,16.4,Ia,Type I
27.0,700.0,13.7,Ib,Type I
62.0,4938.0,17.1,I,Type I
90.0,1724.0,13.0,I,Type I
77.0,9366.0,16.0,I,Type I
78.0,1940.0,13.3,Ia,Type I
36.0,3214.0,15.5,I:,Type I
53.0,2715.0,15.0,I,Type I
90.0,3611.0,16.5,I,Type I
48.0,8559.0,17.8,I,Type I
38.0,1861.0,17.0,I,Type I
56.0,11737.0,16.5,Ib,Type I
56.0,2258.0,14.0,Ia,Type I
