recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc,Type II Label
2460,2003C, ,U  439,10.339999999999998,-1.7166666666666663,17.0,5302.0,.S..1.,17.0,>,II,10.337125,-1.7150277777777776,"Puckett, Cox",Type II
2772,2003lg, ,ANON,18.3875,-0.6149999999999999,,59958.0, ,22.5,>,II,18.386166666666664,-0.6159166666666666,ESSENCE project,Type II
2749,2003kj, ,ANON,18.6525,-0.3999999999999999,,29979.0, ,22.3,>,II,18.65233333333333,-0.3994999999999999,ESSENCE project,Type II
1076,1996bg, ,LEDA3112538,13.217499999999998,-0.0749999999999999,,34696.0, ,22.0,>,II,13.218249999999998,-0.0753055555555555,High-Z Supernova Search Team,Type II
2898,2004dd, ,N  124,6.967499999999999,-1.81,56.0,4060.0,.S..5.,17.0,>,II,6.970749999999999,-1.8128611111111108,"Graham, Li+",Type II
2407,2002jx, ,ANON,6.724999999999999,0.3799999999999999,,59958.0, ,23.5,>,II,6.725541666666666,0.3804722222222221,Challis  (ESSENCE project),Type II
1974,2001fb, ,P  713,2.5274999999999994,-0.4349999999999999,,9648.0, ,20.0,>,II,2.525625,-0.4383888888888888,Rest,Type II
2395,2002jl, ,ANON,5.057499999999999,-0.1383333333333333,,19186.0, ,19.2,>,II,5.058125,-0.1390833333333333,"Wood-Vasey, Aldering, Nugent, K.Li",Type II
2373,2002ip, ,ANON,1.0299999999999998,0.1666666666666666,,23683.0, ,19.3,>,II,1.0305,0.1674999999999999,"Miknaitis, Miceli, Garg  (Sloan Digital Sky Survey(SDSS))",Type II
2944,2004ex, ,N  182,9.552499999999998,2.728333333333333,40.0,5261.0,.SB.1.,17.7,>,II,9.542458333333332,2.721444444444444,"Trondal, Schwartz; Shimasaki, Li+",Type II
1135,1997W,*,N  664,25.94,4.221666666666666,38.0,5425.0,.S..3*,18.0,>,II:,25.93541666666666,4.221444444444444,"Brelind, Garnavich",Type II
1562,1999eb, ,N  664,25.94,4.223333333333333,38.0,5425.0,.S..3*,16.2,>,IIn,25.939374999999995,4.223861111111111,Lick Observatory Supernova Search,Type II
1092,1996bw,*,N  664,25.94,4.223333333333333,38.0,5425.0,.S..3.,15.5,>,II,25.93545833333333,4.222138888888888,BAO Supernova Survey,Type II
1973,2001fa, ,N  673,27.0925,11.521666666666665,41.0,5182.0,.SXS5.,16.0,>,IIn,27.09258333333333,11.52622222222222,"Papenkova, Li +",Type II
2639,2003gd, ,N  628,24.175,15.783333333333331,24.0,657.0,.S..5.,13.2,>,II,24.17770833333333,15.73886111111111,Evans,Type II
2032,2001hh, ,M-02-57-22,339.12249999999995,-12.566666666666665,62.0,7445.0,PLB.0P,17.8,>,II,339.1266666666666,-12.568888888888887,"Schwartz, Li +",Type II
1971,2001ey, ,M-01-57-10,336.62499999999994,-6.393333333333333,90.0,7558.0,.S..5.,17.6,>,IIn,336.6282083333333,-6.391277777777777,"Puckett, Marcus",Type II
1906,2001cl, ,N 7260,335.6525,-4.121666666666666,46.0,4901.0,.SBT4.,17.2,>,II,335.6563333333333,-4.125222222222222,Papenkova +,Type II
1235,1997ds, ,P68771,336.0475,-3.483333333333333,36.0,2833.0,.SB.6.,16.2,>,II,336.04795833333327,-3.48625,"Qiu, Qiao, Li, Hu, Esamdin",Type II
987,1995ab, ,N 7663,351.68749999999994,-4.966666666666666,53.0,5696.0,.S....,17.7,>,II,351.68524999999994,-4.962749999999999,Pollas,Type II
2716,2003jc, ,M-01-58-018,346.2275,-6.539999999999999,38.0,6029.0,.S..3.,16.9,>,II,346.22225,-6.536694444444444,"Burket, Swift, Li+",Type II
986,1995aa, ,LEDA1057160,344.7875,-4.515,,56961.0, ,19.8,>,IIn,344.7905416666666,-4.515916666666666,Pollas,Type II
912,1993ad, ,I 1501,353.6675,-3.1516666666666664,65.0,5225.0,.SBS4P,16.1,=,II,353.67070833333327,-3.1592222222222217,Pollas,Type II
905,1993W, ,ANON,352.4175,-3.038333333333333,,5396.0,.S....,17.0,>,II,352.4169166666666,-3.0405277777777773,Pollas,Type II
2252,2002dy, ,M-01-59-24,352.1025,-2.7999999999999994,59.0,9904.0,.SX.5.,17.0,>,II,352.0969583333333,-2.804722222222222,"Swift, Li+",Type II
1553,1999ds, ,ANON,358.465,0.1566666666666666,,104927.0, ,22.4,>,II:,358.46512499999994,0.1563611111111111,"European Supernova Cosmology Consortium, Supernova Cosmology Project",Type II
1611,1999fy, ,ANON,353.44499999999994,0.2049999999999999,,83942.0, ,22.7,>,II:,353.44541666666663,0.2044444444444444,High-Z Supernova Search Team,Type II
1604,1999fr, ,ANON,351.81749999999994,0.0633333333333333,,, ,23.7,>,II:,351.81825,0.0629999999999999,High-Z Supernova Search Team,Type II
743,1990ad, ,LEDA1190690,340.6625,1.3016666666666663,,, ,19.5,>,II:,340.66212499999995,1.3021666666666665,"McNaught, Hartley",Type II
2309,2002gd, ,N 7537,348.6449999999999,4.498333333333333,80.0,2674.0,.SA.4.,16.4,=,II,348.65416666666664,4.5016388888888885,"Klotz; Puckett, Langoussis",Type II
2371,2002in, ,ANON,326.07249999999993,-0.2416666666666666,,22784.0, ,19.1,>,II,326.07241666666664,-0.2420833333333333,"Miknaitis, Miceli, Garg  (Sloan Digital Sky Survey(SDSS))",Type II
2108,2001kf, ,ANON,335.3924999999999,0.2666666666666666,,17088.0, ,23.1,>,IIP,335.3924999999999,0.2672777777777777,"Ellis, Pain, Raux, Sainton, Schahmaneche, Sullivan",Type II
