recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc,Type I Label
872,1992bi, ,ANON,242.55249999999995,39.78666666666666,,137305.0,.S..9?,22.0,>,Ia,242.553375,39.78686111111111,"Pennypacker, Perlmutter, et al.",Type I
2788,2003lx, ,LEDA2175550,244.84,41.09,,11351.0, ,18.5,>,Ia,244.84025,41.089888888888886,"Connolly, SDSS Collaboration",Type I
786,1991aj, ,M 07-34-84,247.435,41.77666666666666,30.0,9422.0,.S..5.,18.0,>,Ia,247.4370833333333,41.778611111111104,Pollas,Type I
1911,2001cq, ,ANON,241.3275,43.19499999999999,,59958.0, ,22.8,>,Ia:,241.32791666666665,43.195027777777774,Subaru high-redshift supernova search group,Type I
2885,2004cq, ,U 9882,232.8325,40.28166666666666,90.0,6595.0,.S..5.,17.5,>,Ia,232.8323333333333,40.28113888888888,SDSS Collaboration,Type I
2903,2004di, ,U10097,238.93,47.86666666666666,38.0,5962.0,.L....,16.8,>,Ia,238.9208333333333,47.86361111111111,Armstrong; Arbour,Type I
1937,2001dq, ,I 1222,248.7875,46.21333333333333,44.0,9224.0,.SBS5.,18.8,>,Ic:,248.795625,46.21402777777777,"Modjaz, Li +",Type I
2678,2003hq, ,M 08-30-027,248.42,50.37499999999999,27.0,11992.0,.S..3.,17.1,>,Ia,248.42041666666665,50.37713888888888,Armstrong,Type I
1818,2000gb, ,LEDA2524591,263.11999999999995,56.07333333333332,,36698.0, ,20.4,>,Ia,263.1189166666666,56.07374999999999,Madgwick,Type I
2122,2001kt, ,LEDA3131703,244.305,48.475,,31116.0, ,19.9,>,Ia,244.3058333333333,48.47436111111111,"Madgwick, Hewett, Mortlock, Wang (Sloan DigitalSky Survey (SDSS))",Type I
2445,2002lj, ,ANON,244.83249999999995,53.16499999999999,,41971.0, ,19.7,>,Ia,244.831875,53.16505555555555,European Supernova Cosmology Consortium,Type I
2581,2003dw, ,M 10-24-51,251.47,59.621666666666655,62.0,9003.0,.SB.3.,16.7,>,Ia,251.46291666666664,59.627222222222215,Rich,Type I
1508,1999bv, ,M 10-25-014,260.665,60.00499999999999,47.0,5595.0,.S..5.,18.1,>,I:,260.6697083333333,60.00358333333333,Schwartz,Type I
1537,1999da, ,N 6411,263.8875,60.813333333333325,,3806.0,.E....,16.1,=,Ia,263.8456666666666,60.81369444444444,Lick Observatory Supernova Search,Type I
2476,2003U, ,N 6365A,260.68249999999995,62.16666666666666,62.0,8496.0,.SB.5.,18.0,>,Ia,260.69025,62.164,Boles,Type I
1913,2001cs, ,ANON,201.3225,27.22333333333333,,122915.0, ,23.5,>,Ia,201.32216666666665,27.223388888888884,Subaru high-redshift supernova search group,Type I
2287,2002fh, ,ANON,201.445,27.57333333333333,,98932.0, ,22.4,>,Ic:,201.44425,27.572527777777776,"Supernova Cosmology Project, Subaru high-redshift supernova search group",Type I
1912,2001cr, ,ANON,,,,, ,23.8,>,Ia:,201.094625,27.57608333333333,Subaru high-redshift supernova search group,Type I
1916,2001cv, ,ANON,201.395,27.616666666666664,,, ,24.1,>,Ia,201.39516666666665,27.61738888888889,Subaru high-redshift supernova search group,Type I
2286,2002fg, ,ANON,201.1075,27.74333333333333,,236836.0, ,23.7,>,Ia:,201.108,27.74275,"Supernova Cosmology Project, Subaru high-redshift supernova search group",Type I
1915,2001cu, ,ANON,201.3875,27.693333333333328,,150000.0, ,23.7,>,Ia:,201.386375,27.692888888888884,Subaru high-redshift supernova search group,Type I
2495,2003an, ,M 05-32-22,201.9725,28.50833333333333,,11104.0,.E....,16.9,>,Ia,201.973125,28.508111111111106,"Weisz, Li+",Type I
687,1989E, ,M 05-32-45,204.4075,28.80333333333333,44.0,7918.0,.S..5.,18.6,>,Ib,204.4108333333333,28.802777777777774,Pollas,Type I
935,1994O, ,MKN 268,205.2975,30.37833333333333,55.0,11950.0,.S..2.,18.5,>,Ia,205.29579166666664,30.37877777777777,Pollas,Type I
719,1990F, ,P48261,204.7625,32.15666666666666,48.0,7654.0,.S..5.,18.7,>,Ia,204.76154166666663,32.15588888888888,Pollas,Type I
216,1962I, ,M 05-31-112,195.7225,27.516666666666666,,,.E....,17.2,=,I:,195.7182083333333,27.519555555555552,Berger,Type I
208,1962A, ,M 05-31-132,196.6525,27.873333333333328,62.0,6248.0,.S..3.,15.4,=,I,196.64816666666664,27.87494444444444,Zwicky,Type I
2595,2003el, ,N 5000,197.4475,28.906666666666663,36.0,5608.0,.SB.4.,18.8,>,Ic,197.4425,28.905999999999995,"Papenkova, Li+",Type I
411,1973F, ,N 4944,195.9575,28.184999999999995,73.0,6989.0,.S..1.,15.8,=,I,195.96666666666664,28.186388888888885,Kohoutek,Type I
1904,2001cj, ,U 8399,200.44,31.235,50.0,7265.0,.SBR3.,15.7,>,Ia,200.436875,31.246833333333328,"Ganeshalingam, Li +",Type I
2795,2004E, ,P46239,199.2125,31.581666666666663,53.0,8936.0,.S..3.,16.1,>,Ia,199.21416666666664,31.586611111111107,"Swift, Burket, Pugh, Foley, Filippenko, Li+",Type I
228,1963C, ,M 05-31-32,194.45,27.88333333333333,,6941.0,DE.3..,15.7,=,I,194.44891666666663,27.88494444444444,Zwicky,Type I
